PurchaseOrderID,PurchaseOrderDetailID,EmployeeID,VendorID,ShipMethodID,ProductID,DueDate,OrderQty,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,Status,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,NationalIDNumber,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion,AddressLine1,City,StateProvinceName,PostalCode,CountryRegionName,ProductName,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,ProductSize,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,AccountNumber,Vendorname,VendorCreditRating,PreferredVendorStatus,VendorActiveFlag,AddressType,VendorAddressLine,VendorCity,VendorStateProvinceName,VendorPostalCode,VendorCountryRegionName,ProductCategoryID,ProductSubcategoryName,ProductCategoryName,ProductModelName
1,1,258,1580,3,1,4/30/2011 0:00,4,50.26,201.04,3,0,3,4,4/16/2011 0:00,4/25/2011 0:00,201.04,16.0832,5.026,222.1492,785853949,Buyer,1/4/1971,S,F,1/31/2010,FALSE,53,46,TRUE,,Erin,M,Hagens,,842-555-0158,Work,erin0@adventure-works.com,0,2947 Vine Lane,Bellevue,Washington,98004,United States,Adjustable Race,AR-5381,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,LITWARE0001,"Litware, Inc.",1,TRUE,TRUE,Main Office,4405 Balboa Court,Santa Cruz,California,95062,United States,,,,
2,2,254,1496,5,359,4/30/2011 0:00,3,45.12,135.36,3,0,3,1,4/16/2011 0:00,4/25/2011 0:00,272.1015,21.7681,6.8025,300.6721,482810518,Buyer,11/24/1970,M,M,1/4/2010,FALSE,57,48,TRUE,,Fukiko,J,Ogisu,,520-555-0177,Work,fukiko0@adventure-works.com,0,8751 Norse Drive,Bellevue,Washington,98004,United States,Thin-Jam Hex Nut 9,HJ-1213,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,ADVANCED0001,Advanced Bicycles,1,TRUE,TRUE,Main Office,7995 Edwards Ave.,Lynnwood,Washington,98036,United States,,,,
2,3,254,1496,5,360,4/30/2011 0:00,3,45.5805,136.7415,3,0,3,1,4/16/2011 0:00,4/25/2011 0:00,272.1015,21.7681,6.8025,300.6721,482810518,Buyer,11/24/1970,M,M,1/4/2010,FALSE,57,48,TRUE,,Fukiko,J,Ogisu,,520-555-0177,Work,fukiko0@adventure-works.com,0,8751 Norse Drive,Bellevue,Washington,98004,United States,Thin-Jam Hex Nut 10,HJ-1220,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,ADVANCED0001,Advanced Bicycles,1,TRUE,TRUE,Main Office,7995 Edwards Ave.,Lynnwood,Washington,98036,United States,,,,
3,4,257,1494,2,530,4/30/2011 0:00,550,16.086,8847.3,550,0,550,4,4/16/2011 0:00,4/25/2011 0:00,8847.3,707.784,221.1825,9776.2665,381073001,Buyer,9/17/1972,S,M,1/27/2010,FALSE,54,47,TRUE,,Eric,S,Kurjan,,265-555-0195,Work,eric2@adventure-works.com,2,1378 String Dr,Renton,Washington,98055,United States,Seat Post,SP-2981,FALSE,FALSE,,500,375,0,0,,,,,0,,,,,,4/30/2008 0:00,,,ALLENSON0001,Allenson Cycles,2,TRUE,TRUE,Main Office,4659 Montoya,Altadena,California,91001,United States,,,,
4,5,261,1650,5,4,4/30/2011 0:00,3,57.0255,171.0765,2,1,1,3,4/16/2011 0:00,4/25/2011 0:00,171.0765,13.6861,4.2769,189.0395,280633567,Purchasing Assistant,1/17/1978,M,M,12/25/2010,FALSE,51,45,TRUE,,Reinout,N,Hillmann,,370-555-0163,Work,reinout0@adventure-works.com,2,620 Woodside Ct.,Bellevue,Washington,98004,United States,Headset Ball Bearings,BE-2908,FALSE,FALSE,,800,600,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AMERICAN0001,American Bicycles and Wheels,1,TRUE,TRUE,Main Office,1667 Warren Street,West Covina,California,91791,United States,,,,
5,6,251,1654,4,512,5/14/2011 0:00,550,37.086,20397.3,550,0,550,4,4/30/2011 0:00,5/9/2011 0:00,20397.3,1631.784,509.9325,22539.0165,603686790,Buyer,8/17/1984,S,M,2/10/2009,FALSE,59,49,TRUE,,Mikael,Q,Sandberg,,309-555-0170,Work,mikael0@adventure-works.com,2,9539 Glenside Dr,Bothell,Washington,98011,United States,HL Road Rim,RM-R800,FALSE,FALSE,,800,600,0,0,,,G  ,400,0,,,,,,4/30/2008 0:00,,,AMERICAN0002,American Bikes,1,TRUE,TRUE,Main Office,7179 Montana,Torrance,California,90505,United States,,,,
6,7,253,1664,3,513,5/14/2011 0:00,550,26.5965,14628.075,468,0,468,4,4/30/2011 0:00,5/9/2011 0:00,14628.075,1170.246,365.7019,16164.0229,407505660,Buyer,11/30/1970,M,F,12/17/2009,FALSE,56,48,TRUE,,Linda,P,Meisner,,916-555-0165,Cell,linda2@adventure-works.com,0,6118 Grasswood Circle,Bellevue,Washington,98004,United States,Touring Rim,RM-T801,FALSE,FALSE,,800,600,0,0,,,G  ,460,0,,,,,,4/30/2008 0:00,,,ANDERSON0001,Anderson's Custom Bikes,1,TRUE,TRUE,Main Office,9 Guadalupe Dr.,Burbank,California,91502,United States,,,,
7,8,255,1678,3,317,5/14/2011 0:00,550,27.0585,14882.175,550,0,550,4,4/30/2011 0:00,5/9/2011 0:00,58685.55,4694.844,1467.1388,64847.5328,466142721,Buyer,11/29/1966,M,M,1/11/2010,FALSE,52,46,TRUE,,Gordon,L,Hee,,230-555-0144,Cell,gordon0@adventure-works.com,0,108 Lakeside Court,Bellevue,Washington,98004,United States,LL Crankarm,CA-5965,FALSE,FALSE,Black,500,375,0,0,,,,,0,,L ,,,,4/30/2008 0:00,,,PROSE0001,"Proseware, Inc.",4,FALSE,FALSE,Main Office,50 Big Canyon Road,Lebanon,Oregon,97355,United States,,,,
7,9,255,1678,3,318,5/14/2011 0:00,550,33.579,18468.45,550,0,550,4,4/30/2011 0:00,5/9/2011 0:00,58685.55,4694.844,1467.1388,64847.5328,466142721,Buyer,11/29/1966,M,M,1/11/2010,FALSE,52,46,TRUE,,Gordon,L,Hee,,230-555-0144,Cell,gordon0@adventure-works.com,0,108 Lakeside Court,Bellevue,Washington,98004,United States,ML Crankarm,CA-6738,FALSE,FALSE,Black,500,375,0,0,,,,,0,,M ,,,,4/30/2008 0:00,,,PROSE0001,"Proseware, Inc.",4,FALSE,FALSE,Main Office,50 Big Canyon Road,Lebanon,Oregon,97355,United States,,,,
7,10,255,1678,3,319,5/14/2011 0:00,550,46.0635,25334.925,550,0,550,4,4/30/2011 0:00,5/9/2011 0:00,58685.55,4694.844,1467.1388,64847.5328,466142721,Buyer,11/29/1966,M,M,1/11/2010,FALSE,52,46,TRUE,,Gordon,L,Hee,,230-555-0144,Cell,gordon0@adventure-works.com,0,108 Lakeside Court,Bellevue,Washington,98004,United States,HL Crankarm,CA-7457,FALSE,FALSE,Black,500,375,0,0,,,,,0,,,,,,4/30/2008 0:00,,,PROSE0001,"Proseware, Inc.",4,FALSE,FALSE,Main Office,50 Big Canyon Road,Lebanon,Oregon,97355,United States,,,,
